Spanish,English
de,of
la,the
que,that
el,the
en,in
y,and
a,a
los,the
se,I know
del,of
las,the
un,a
por,by
con,with
no,No
una,a
su,its
para,for
es,it is
al,to the
lo,it
como,What
más,plus
o,either
pero,but
sus,their
le,you
ha,he has
me,I
si,Yes
sin,without
sobre,on
este,East
ya,Already
entre,Come in
cuando,when
todo,all
esta,is
ser,be
son,are
dos,two
también,also
fue,it was
había,there was
era,it was
muy,very
años,years
hasta,until
desde,since
está,this
mi,me
porque,because
qué,what
sólo,single
han,they have
yo,me
hay,there are
vez,time
puede,can
todos,everybody
así,So
nos,us
ni,neither
parte,part
tiene,have
él,the
uno,one
donde,where
bien,right
tiempo,weather
mismo,same
ese,that
ahora,now
cada,each
e,and
vida,life
otro,other
después,after
te,tea
otros,others
aunque,though
esa,this
eso,it's
hace,does
otra,other
gobierno,government
tan,so
durante,during
siempre,forever
día,day
tanto,so much
ella,she
tres,three
sí,Yes
dijo,said
sido,been
gran,great
país,country
según,according to
menos,less
mundo,world
año,year
antes,before
estado,condition
contra,against
sino,otherwise
forma,form
caso,case
nada,any
hacer,do
general,general
estaba,I was
poco,little bit
estos,these
presidente,President
mayor,elderly
ante,in view of
unos,some
les,them
algo,something
hacia,towards
casa,House
ellos,they
ayer,Yesterday
hecho,done
primera,first
mucho,much
mientras,while
además,what's more
quien,who
momento,moment
millones,millions
esto,this
españa,Spain
hombre,men
están,is it so
pues,well
hoy,today
lugar,place
madrid,Madrid
nacional,national
trabajo,worked
otras,others
mejor,better
nuevo,new
decir,tell
algunos,Some
entonces,then
todas,all
días,days
debe,must
política,politics
cómo,What
casi,almost
toda,all
tal,such
luego,later
pasado,past
primer,first
medio,medium
va,goes
estas,these
sea,be
tenía,I had
nunca,never
poder,can
aquí,here
ver,watch
veces,times
embargo,embargo
partido,match
personas,people
grupo,cluster
cuenta,bill
pueden,they can
tienen,have
misma,same
nueva,new
cual,which
fueron,were
mujer,woman
frente,front
josé,Joseph
tras,after
cosas,stuff
fin,finish
ciudad,city
he,He
social,Social
manera,way
tener,to have
sistema,system
será,will be
historia,history
muchos,Many
juan,John
tipo,Type
cuatro,four
dentro,within
nuestro,our
punto,point
dice,He says
ello,it
cualquier,any
noche,night
aún,even
agua,Water
parece,It seems
haber,to have
situación,situation
fuera,outside
bajo,bass
grandes,large
nuestra,our
ejemplo,example
acuerdo,agreement
habían,They were
usted,you
estados,state
hizo,made
nadie,no one
países,countries
horas,hours
posible,possible
tarde,afternoon
ley,law
importante,important
guerra,war
desarrollo,developing
proceso,process
realidad,reality
sentido,sense
lado,side
mí,my
tu,your
cambio,change
allí,over there
mano,hand
eran,were
estar,be
san,saint
número,number
sociedad,society
unas,nail
centro,center
padre,dad
gente,people
final,final
relación,relationship
cuerpo,Body
obra,construction site
incluso,even
través,through
último,latest
madre,mother
mis,my
modo,mode
problemas,problems
cinco,five
carlos,Charles
hombres,mens
información,information
ojos,eyes
muerte,death
nombre,Name
algunas,some
público,public
mujeres,women
siglo,century
todavía,yet
meses,months
mañana,morning
esos,those
nosotros,us
hora,hour
muchas,many
pueblo,village
alguna,some
dar,to give
problema,issue
don,Don
da,gives
tú,your
derecho,law
verdad,TRUE
maría,Maria
unidos,United
podría,could
sería,would
junto,together
cabeza,head
aquel,that
luis,Lewis
cuanto,how much
tierra,Earth
