Spanish,English
de,of
la,the
que,that
el,the
y,and
los,the
las,the
un,a
por,by
con,with
no,No
su,its
para,for
es,it is
más,plus
o,either
pero,but
sus,their
me,I
si,Yes
sin,without
sobre,on
este,East
ya,Already
cuando,when
todo,all
ser,be
son,are
dos,two
también,also
fue,it was
había,there was
era,it was
años,years
hasta,until
está,this
mi,me
porque,because
qué,what
sólo,single
han,they have
hay,there are
puede,can
todos,everybody
así,So
nos,us
ni,neither
parte,part
tiene,have
él,the
uno,one
donde,where
bien,right
ahora,now
cada,each
vida,life
después,after
te,tea
otros,others
esa,this
eso,it's
hace,does
otra,other
gobierno,government
tan,so
durante,during
siempre,forever
día,day
tanto,so much
ella,she
tres,three
sí,Yes
dijo,said
sido,been
gran,great
según,according to
menos,less
mundo,world
antes,before
estado,condition
contra,against
sino,otherwise
forma,form
caso,case
nada,any
hacer,do
general,general
estaba,I was
poco,little bit
estos,these
presidente,President
mayor,elderly
les,them
algo,something
hacia,towards
ellos,they
ayer,Yesterday
hecho,done
mucho,much
además,what's more
quien,who
momento,moment
esto,this
españa,Spain
están,is it so
pues,well
lugar,place
madrid,Madrid
nacional,national
trabajo,worked
otras,others
mejor,better
algunos,Some
entonces,then
todas,all
días,days
debe,must
política,politics
cómo,What
casi,almost
toda,all
tal,such
luego,later
pasado,past
primer,first
va,goes
estas,these
sea,be
nunca,never
aquí,here
veces,times
embargo,embargo
partido,match
personas,people
pueden,they can
tienen,have
misma,same
nueva,new
cual,which
fueron,were
mujer,woman
frente,front
tras,after
cosas,stuff
fin,finish
ciudad,city
he,He
social,Social
será,will be
muchos,Many
juan,John
tipo,Type
cuatro,four
dentro,within
nuestro,our
punto,point
dice,He says
ello,it
cualquier,any
noche,night
aún,even
agua,Water
parece,It seems
haber,to have
situación,situation
fuera,outside
bajo,bass
grandes,large
nuestra,our
ejemplo,example
acuerdo,agreement
habían,They were
usted,you
estados,state
hizo,made
nadie,no one
países,countries
horas,hours
posible,possible
tarde,afternoon
importante,important
guerra,war
desarrollo,developing
proceso,process
realidad,reality
sentido,sense
mí,my
tu,your
cambio,change
allí,over there
mano,hand
eran,were
estar,be
san,saint
número,number
sociedad,society
centro,center
padre,dad
gente,people
relación,relationship
cuerpo,Body
obra,construction site
incluso,even
través,through
último,latest
madre,mother
mis,my
modo,mode
problemas,problems
cinco,five
carlos,Charles
hombres,mens
información,information
ojos,eyes
muerte,death
nombre,Name
algunas,some
público,public
mujeres,women
siglo,century
todavía,yet
meses,months
mañana,morning
hora,hour
muchas,many
pueblo,village
alguna,some
dar,to give
problema,issue
don,Don
da,gives
derecho,law
unidos,United
podría,could
sería,would
junto,together
aquel,that
luis,Lewis
cuanto,how much
tierra,Earth
equipo,equipment
director,director
cierto,certain
casos,cases
manos,hands
nivel,level
podía,could
largo,length
partir,leave
falta,lack
llegar,get
propio,own self
primero,first
hemos,we have
algún,some
respecto,regard
varios,several
real,real
sé,HE
voz,voice
mil,one thousand
quienes,who
proyecto,Project
mercado,market
mayoría,most
luz,light
claro,Sure
éste,East
pesetas,pesetas
orden,order
español,Spanish
buena,good
quiere,wants
aquella,that
programa,Program
palabras,words
internacional,international
van,go
esas,those
segunda,second
empresa,business
ahí,there
propia,own
m,m
igual,Same
político,political
persona,person
últimos,last
ellas,they
creo,I think
tengo,I've got
dios,god
c,c
